Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
NUE,"Nucor Corp",+9.38,166.96,-1.9,-1.13%,182.68,129.79,+8.85%,"10:09 ET"
NVDA,"Nvidia Corp",+179.93,540.5,-3,-0.55%,552.75,154.92,+241.81%,"10:09 ET"
NVR,"NVR Inc",+46.09,7180.88,33.57,+0.47%,7248.41,4832.34,+46.47%,"10:04 ET"
NWS,"News Corp Cl B",+37.03,25.14,-0.18,-0.71%,26,15.73,+28.90%,"10:09 ET"
NWSA,"News Corp Cl A",+32.54,24.02,-0.17,-0.70%,24.81,15.57,+25.17%,"10:09 ET"
NXPI,"Nxp Semiconductors",+21.10,207.58,-3.71,-1.76%,238.27,155.31,+24.64%,"10:09 ET"
O,"Realty Income Corp",-6.41,58.52,-0.59,-1.00%,68.85,45.03,-10.73%,"10:09 ET"
ODFL,"Old Dominion Freight Line Inc",+18.02,386.02,-5,-1.28%,438.05,295.8,+23.38%,"10:06 ET"
OKE,"Oneok Inc",+4.78,70.17,-0.69,-0.97%,72.51,55.91,+0.47%,"10:09 ET"
OMC,"Omnicom Group Inc",+6.72,87.54,-0.69,-0.78%,99.23,72.2,+3.98%,"10:09 ET"
ON,"On Semiconductor",+1.32,73.59,-2.02,-2.67%,111.35,61.47,+16.08%,"10:09 ET"
ORCL,"Oracle Corp",+9.54,103.75,-0.17,-0.16%,127.54,82.04,+17.39%,"10:09 ET"
ORLY,"O'Reilly Automotive",+12.23,942.44,5.8900000000001,+0.63%,1005.96,767.27,+13.81%,"10:09 ET"
OTIS,"Otis Worldwide Corp",+4.84,86.43,-0.56999999999999,-0.66%,91.33,73.32,+5.76%,"10:09 ET"
OXY,"Occidental Petroleum Corp",-12.87,57.24,0.44,+0.77%,67.93,55.12,-10.64%,"10:09 ET"
PANW,"Palo Alto Networks Inc",+122.25,317.45,1.36,+0.43%,325.37,132.22,+133.10%,"10:09 ET"
PARA,"Paramount Global Cl B",-31.91,13.51,-0.61,-4.32%,25.93,10.51,-32.42%,"10:09 ET"
PAYC,"Paycom Software Inc",-20.99,197.72,-4.28,-2.12%,374.04,146.15,-34.11%,"10:08 ET"
PAYX,"Paychex Inc",+0.67,118.61,-0.28,-0.24%,129.7,104.09,-0.87%,"10:09 ET"
PCAR,"Paccar Inc",+38.37,94.02,-0.58,-0.61%,98.47,64.78,+40.52%,"10:09 ET"
PCG,"Pacific Gas & Electric Company",+13.72,17.87,-0.29,-1.60%,18.32,14.71,+14.12%,"10:09 ET"
PEAK,"Healthpeak Properties Inc",-18.88,19.94,-0.029999999999998,-0.15%,28.43,15.24,-25.96%,"10:09 ET"
PEG,"Public Service Enterprise Group Inc",-1.87,60.79,-1.22,-1.97%,65.46,53.71,-4.25%,"10:09 ET"
PEP,"Pepsico Inc",-7.46,165.99,-0.92999999999998,-0.56%,196.88,155.83,-6.78%,"10:09 ET"
PFE,"Pfizer Inc",-39.38,28.41,-0.58,-2.00%,48.16,25.76,-39.83%,"10:09 ET"
PFG,"Principal Financial Group Inc",-6.18,77.96,-1.04,-1.32%,93.87,65.17,-12.11%,"10:08 ET"
PG,"Procter & Gamble Company",+0.06,149.98,0.039999999999992,+0.03%,158.38,135.83,-0.49%,"10:09 ET"
PGR,"Progressive Corp",+28.67,165.64,0.13,+0.08%,168.22,111.41,+24.82%,"10:09 ET"
PH,"Parker-Hannifin Corp",+48.00,459.64,-1.14,-0.25%,464,297.12,+48.39%,"10:08 ET"
PHM,Pultegroup,+109.98,104.64,-0.56999999999999,-0.54%,106.11,49.12,+111.56%,"10:09 ET"
